ID,Payed Status in April,Payed Status in May,Payed Status in June,Payed Status in July,Payed Status in August,Payed Status in September,Credit Limit,Average Bill Amount,Average Pay Amount,Sex,Education_Graduate School,Education_High School,Education_Others,Education_University,Marriage_Married,Marriage_Others,Marriage_Single,Age_Young Adult (20-27),Age_Adult (28-35),Age_Middle Aged (36-45),Age_Senior (46-80),Defaulted Payment
1,0,0,0,0,1,1,20000,344.5,0.0,0,0,0,0,1,1,0,0,1,0,0,0,1
2,1,0,0,0,1,0,120000,2971.5,1000.0,0,0,0,0,1,0,0,1,1,0,0,0,1
3,0,0,0,0,0,0,90000,14639.5,1250.0,0,0,0,0,1,0,0,1,0,1,0,0,0
4,0,0,0,0,0,0,50000,38268.5,1150.0,0,0,0,0,1,1,0,0,0,0,1,0,0
5,0,0,0,0,0,0,50000,19138.5,5500.0,1,0,0,0,1,1,0,0,0,0,0,1,0
6,0,0,0,0,0,0,50000,38546.5,1000.0,1,1,0,0,0,0,0,1,0,0,1,0,0
7,0,0,0,0,0,0,500000,459475.5,29119.5,1,1,0,0,0,0,0,1,0,1,0,0,0
8,0,0,0,0,0,0,100000,473.5,591.0,0,0,0,0,1,0,0,1,1,0,0,0,0
9,0,0,0,1,0,0,140000,11950.5,1000.0,0,0,1,0,0,1,0,0,1,0,0,0,0
10,0,0,0,0,0,0,20000,0.0,0.0,1,0,1,0,0,0,0,1,0,1,0,0,0
11,0,0,0,1,0,0,200000,4633.0,183.0,0,0,1,0,0,0,0,1,0,1,0,0,0
12,1,0,0,0,0,0,260000,12964.5,9274.5,0,1,0,0,0,0,0,1,0,0,0,1,0
13,0,0,0,0,0,0,630000,6500.0,4685.0,0,0,0,0,1,0,0,1,0,0,1,0,0
14,1,0,0,1,1,1,70000,65751.5,2250.0,1,0,0,0,1,0,0,1,0,1,0,0,1
15,0,0,0,0,0,0,250000,61628.5,3000.0,1,1,0,0,0,0,0,1,0,1,0,0,0
16,0,0,0,0,1,1,50000,29352.0,1150.0,0,0,1,0,0,0,1,0,1,0,0,0,0
17,1,1,1,1,0,0,20000,17957.5,750.0,1,1,0,0,0,0,0,1,1,0,0,0,1
18,0,0,0,0,0,0,320000,195131.0,35000.0,1,1,0,0,0,1,0,0,0,0,0,1,0
19,0,0,0,0,0,1,360000,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0,1,0
20,0,0,0,0,0,1,180000,0.0,0.0,0,1,0,0,0,0,0,1,0,1,0,0,0
21,0,0,0,0,0,0,130000,22552.5,1768.5,0,0,1,0,0,0,0,1,0,0,1,0,0
22,0,0,0,0,0,0,120000,316.0,316.0,0,0,0,0,1,1,0,0,0,0,1,0,1
23,1,1,1,0,0,1,70000,44513.0,1913.5,0,0,0,0,1,0,0,1,1,0,0,0,1
24,0,0,0,0,0,0,450000,1016.5,844.0,0,1,0,0,0,1,0,0,0,0,1,0,1
